Year,MALE,FEMALE,EDUCOTEC,EDUHS,EDUHSGRAD,EDUCOGRAD,OVERALL,AGEYR1824,AGEYR2534,AGEYR3544,AGEYR4554,AGEYR5564,AGEYR65PLUS,INCLESS15,INC1525,INC2535,INC3550,INC5075,INC75PLUS,INCNR,RACEWHT,RACEBLK,RACEHIS,RACEASN,RACEHPI,RACENAA,RACE2PLUS,RACEOTH
2011,24.4,25.8,25.9,36.2,25.2,17.4,25.1,18.7,23.6,25.4,29.6,29.9,22.6,34.1,32.3,26.5,20.7,25.1,19.7,19.6,21.2,26.8,33.8,13,,34.2,20.8,
2012,26.4,25.6,25.3,32.3,26.9,22.3,26,16.2,29.2,30.4,27.6,30.3,22.6,31.1,29.1,25.9,26.2,28.1,21.6,22.4,23.1,35.4,30.9,4.3,,45.8,31.6,27.2
2013,26.5,27.1,24.9,42.5,27.3,19.2,26.8,13.4,29.6,27.6,34.6,30.4,23.2,32.4,33.7,25.5,22,26.3,22.5,27.2,21.7,34.5,36.7,,,53,14.8,23.5
2014,29.1,28.8,32.1,32.1,29.8,21.6,28.9,6.6,16.6,29.1,33.3,34.9,33.5,24.7,33.6,34.6,28.4,31.4,25.9,26.5,23.2,26.4,36.7,34,,44.6,29.5,26.1
2015,29.6,27.1,30.3,37.5,28.2,21,33.4,33.4,17.5,24.2,29.5,32.1,23.6,24.8,28,28.4,30.5,33.5,34.8,28.4,,8.5,23.8,25.4,27.6,31.5,35.9,42.8





