state,value,id
Alabama,30.9,2
Alaska,28.2,4
Arkansas,25.8,6
Arizona,29.3,5
California,23.3,8
Colorado,19.3,9
Connecticut,21.7,10
Delaware,28.2,11
District of Columbia,22.2,12
Florida,24.1,13
Georgia,28.7,15
Hawaii,21.7,16
Iowa,25.1,20
Idaho,25.6,17
Illinois,27.4,18
Indiana,27.7,19
Kansas,27.7,21
Kentucky,28.7,22
Louisiana,30.7,23
Maine,25.2,24
Maryland,26.3,25
Massachusetts,21.7,26
Michigan,28.2,27
Minnesota,26,28
Mississippi,32.6,29
Missouri,28.2,30
Montana,22.6,31
Nebraska,26.5,32
Nevada,24.6,33
New Hampshire,25.1,34
New Jersey,24.1,35
New Mexico,25.1,36
New York,25.5,37
North Carolina,28.7,38
North Dakota,27,39
Ohio,28.1,40
Oklahoma,28.8,41
Oregon,26.3,42
Pennsylvania,27.8,44
Rhode Island,21.7,45
South Carolina,29,46
South Dakota,27.2,52
Tennessee,30.7,47
Texas,28.6,48
Utah,22.4,49
Virginia,21.9,51
Vermont,25.3,50
Washington,25.9,53
Wisconsin,30.3,55
West Virginia,25.3,54
Wyoming,24.5,56
